,link,brand,product,price,cosmetic_condition,internal_storage,battery_power_mah,warranty_period,warranty_type,color,main_camera_resolution_range,screen_size,ram_capacity,mobile_connection_speed,camera_resolution,front_camera_count,screen_resolution,screen_technology,front_camera_resolution,front_camera_resolution_range,display_technology,main_camera_flash,front_camera_flash,screen_type,rear_camera_count,screen_size_range,operating_system,dual_sim,wireless_charging,face_recognition,touchscreen,charging_port,nfc,screen_refresh_rate,headphone_jack,charging_speed,expandable_storage,battery_capacity_range,fingerprint_reader,water_dust_resistance,artificial_intelligence,phone_model,video_recording_resolution,country_of_origin,radio,cpu_range,video_call,repairability,ce_compliance,importer_representative,manufacturer_info
274,https://www.trendyol.com/samsung/yenilenmis-samsung-galaxy-a33-128-gb-mavi-12-ay-garantili-b-grade-p-848555279,Samsung Yenilenmiş SamsungGalaxy A33 128 GB Mavi (12 Ay Garantili) - B Grade,,,B seviye-Çok İyi,128 GB,,1 Yıl,,Mavi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
275,https://www.trendyol.com/apple/yenilenmis-iphone-11-pro-64gb-gold-a-kalite-p-772225987,Apple Yenilenmiş iPhone 11Pro 64GB Gold A Kalite,Yenilenmiş iPhone 11,,A seviye-Mükemmel,64 GB,,1 Yıl,,Altın,10 - 15 MP,"5,5 - 6 inç",4 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
276,https://www.trendyol.com/apple/yenilenmis-iphone-12-pro-512-gb-pasifik-mavisi-cep-telefonu-12-ay-garantili-a-kalite-p-888859434,Apple Yenilenmiş Iphone 12Pro 512 Gb Pasifik Mavisi Cep Telefonu (12 AY GARANTİLİ) - A Kalite,,38.499 TL,A seviye-Mükemmel,512 GB,,1 Yıl,,Gri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
277,https://www.trendyol.com/apple/yenilenmis-iphone-11-64-gb-12-ay-delta-servis-garantili-b-kalite-p-704245862,Apple Yenilenmiş Iphone 11 64Gb (12 AY DELTA SERVİS GARANTİLİ) - B Kalite,Yenilenmiş Iphone 11 64,,B seviye-Çok İyi,64 GB,3000 - 4000,1 Yıl,Delta Servis Garantili,Kırmızı,10 - 15 MP,6 inç ve üstü,4 GB,,10 - 15 MP,,,,,,,,,,,,,,,,,,,,,,,3000-3500 mAh,,,,,,,,,,,,,
278,https://www.trendyol.com/infinix/note-12-128-gb-8-gb-ram-5-gb-sanal-ram-mavi-turkiye-garantili-p-442836293,INFINIX Note 12 128 Gb 8 GbRam 5 Gb Sanal Ram Mavi ( Türkiye Garantili),Note 12 128 Gb 8 Gb,7.650 TL,,128 GB,5000 ve üstü,2 Yıl,KVK Garantili,Mavi,40 - 60 MP,"6,7 inç",8 GB,4.5G,20 MP ve üstü,1,FHD+,FHD+,14 - 20 MP,15 - 20 MP,AMOLED,Var,Var,AMOLED,3,6.5'' - 7'',Android,Var,Yok,Var,Var,USB Type-C,Var,60 Hz,3.5 mm,20-40 W,Var,5000-6000 mAh,Var,Yok,Yok,,1440p (Quad HD),,,,,,,,
279,https://www.trendyol.com/xiaomi/note-14-pro-5g-12-gb-ram-512-gb-yesil-xiaomi-turkiye-garantili-p-893256921,Xiaomi Note 14 Pro 5G 12 GBRAM 512 GB Yeşil (Xiaomi Türkiye Garantili),Note 14 Pro 5G 12 GB,24.099 TL,,512 GB,4000 - 5000,2 Yıl,Xiaomi Türkiye Garantili,Yeşil,20 - 40 MP,"6,67 inç",12 GB,5G,20 MP ve üstü,1,,,20 MP,10 - 15 MP,,,,AMOLED,2,6.5'' - 7'',Android,Var,Yok,Var,Var,USB Type-C,Var,120 Hz,USB Type-C,40-60 W,,4500-5000 mAh,Var,Var,,,,,,,,,,,
280,https://www.trendyol.com/oppo/a9-2020-purple-128gb-yenilenmis-b-kalite-12-ay-garantili-p-712529138,Oppo A9 2020 Purple 128gbYenilenmiş B Kalite (12 AY GARANTİLİ),,5.999 TL,B seviye-Çok İyi,128 GB,,1 Yıl,,Mor,10 - 15 MP,"5,5 - 6 inç",3 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
281,https://www.trendyol.com/apple/yenilenmis-iphone-13-mini-128-gb-mavi-b-grade-p-689222768,Apple Yenilenmiş Iphone 13Mini 128 Gb Mavi B Grade,,29.999 TL,B seviye-Çok İyi,128 GB,,1 Yıl,,Mavi,10 - 15 MP,6 inç ve üstü,4 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
282,https://www.trendyol.com/xiaomi/yenilenmis-xiaomi-redmi-note-11s-128-gb-beyaz-b-kalite-p-856335632,Xiaomi Yenilenmiş XiaomiRedmi Note 11S 128 GB Beyaz B Kalite,,7.999 TL,B seviye-Çok İyi,128 GB,,1 Yıl,,Beyaz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,https://www.trendyol.com/apple/iphone-11-64gb-beyaz-yenilenmis-b-kalite-p-810358314,Apple iPhone 11 64GB Beyaz -Yenilenmiş - B Kalite,iPhone 11 64GB Beyaz -,,B seviye-Çok İyi,64 GB,,1 Yıl,,Beyaz,10 - 15 MP,6 - 8 inç,4 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
284,https://www.trendyol.com/hiking/a40-6gb-ram-128gb-hafiza-akilli-cep-telefonu-android-turkiye-garantili-p-744552947,Hikıng A40 6gb Ram 128gbHafıza Akıllı Cep Telefonu - Android (TÜRKİYE GARANTİLİ),A40 6gb Ram 128gb,5.390 TL,,128 GB,5000 ve üstü,2 Yıl,Resmi Distribütör Garantili,Mor,20 - 40 MP,"6,52 inç",6 GB,4.5G,20 MP ve üstü,1,HD+,HD+,8 - 14 MP,5 - 10 MP,LCD,Var,Yok,LCD,3,6.5'' - 7'',Android,Var,Yok,Yok,Var,USB Type-C,Yok,60 Hz,USB Type-C,10-20 W,Var,5000-6000 mAh,Var,Var,Yok,,1080p (Full HD),,,,,,,,
285,https://www.trendyol.com/xiaomi/redmi-9c-4-gb-128-gb-cep-telefonu-gri-xiaomi-turkiye-garantili-p-274435720,Xiaomi Redmi 9C 4 GB+128 GBCep Telefonu - Gri (Xiaomi Türkiye Garantili),Redmi 9C 4 GB+128 GB,8.849 TL,,128 GB,5000,2 Yıl,Xiaomi Türkiye Garantili,Çok Renkli,10 - 15 MP,6 inç ve üstü,2 GB,4.5G,10 - 15 MP,1,HD+,HD+,5 - 8 MP,5 MP ve altı,LCD,Var,Yok,LCD,3,6'' - 6.5'',Android,Var,Yok,Var,Var,Micro-USB,Yok,60 Hz,3.5 mm,10-20 W,Var,4500-5000 mAh,Var,Yok,Yok,Xiaomi Redmi 9c,1080p (Full HD),,,,,,,,
286,https://www.trendyol.com/samsung/yenilenmis-samsung-galaxy-z-flip-5-256gb-krem-cep-telefonu-12-ay-garantili-a-kalite-p-904109017,Samsung YENİLENMİŞ SAMSUNGGALAXY Z FLIP 5 256GB KREM CEP TELEFONU (12 AY GARANTİLİ) - A KALİTE,,29.999 TL,A seviye-Mükemmel,256 GB,,1 Yıl,,Bej,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
287,https://www.trendyol.com/apple/yenilenmis-iphone-13-512-gb-mavi-cep-telefonu-12-ay-garantili-c-kalite-p-886544251,Apple Yenilenmiş Iphone 13512 Gb Mavi Cep Telefonu (12 AY GARANTİLİ) - C Kalite,,36.799 TL,C seviye-İyi,512 GB,,,,Pembe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
